[lepontine_alps, canton_of_valais]
[snake_river, idaho]
[fire_island_national_seashore, new_york_state]
[ruhrort, duisburg]
[northeast, minneapolis]
[mitta_mitta, victoria]
[limoux, aude]
[pithole_stone_arch_bridge, pithole_creek]
[elk_grove_village, illinois]
[new_prairie_township, pope_county]
[hanover_township, washington_county_,_pennsylvania]
[bunbury, western_australia]
[theresienwiese, munich]
[encounter_bay, south_australia]
[hardy_dam, michigan]
[amsterdam_island, french_territory]
[avaldsnes, karmøy]
[mandala_stadium, jayapura]
[blue_john_canyon, utah]
[lower_burrell, westmoreland_county]
[bayingolin_mongol_autonomous_prefecture, xinjiang]
[weirton, west_virginia]
[gstaad, saanen]
[woolloongabba, brisbane]
[gmina_dzierżoniów, dzierżoniów_county]
[walsh_island, county_offaly]
[dafen, carmarthenshire]
[cape_wickham_lighthouse, king_island]
[ōasahiko_shrine, tokushima_prefecture]
[baton_river, tasman_district]
[homestead_,_florida, dade_county]
[noordeinde_palace, the_hague]
[elvebakken, alta]
[cham_shekar, sepiddasht_rural_district]
[catskill_mountains, new_york]
[dubrava, zagreb]
[oldemarkt, steenwijkerland]
[pyasina_river, krasnoyarsk_krai]
[ter_aar, nieuwkoop]
[hérault, occitanie]
[ipasha_glacier, montana]
[mark_municipality, västra_götaland_county]
[mariaparochie, almelo]
[luoyang, henan]
[bridgeton_township, bucks_county]
[british_atomic_test, western_australia]
[camden_county, georgia]
[nishapur_county, razavi_khorasan_province]
[lower_peninsula, michigan]
[mitta_mitta, victoria]
[warsaw, kingdom_of_poland]
[tiraspol, moldavian_ssr]
[state_route_108, stanislaus_county]
[duncormick, county_wexford]
[university_of_new_mexico, albuquerque_,_new_mexico]
[manche, normandy]
[west_island, montreal]
[trimsaran, carmarthenshire]
[tensas, louisiana]
[ejisu_-_juaben_municipal_district, ashanti_region]
[free_school_lane, cambridge]
[rashtrapati_bhavan, new_delhi]
[chennai, tamil]
[kent, putnam_county]
[wxpn_fm, pennsylvania]
[limonar, matanzas]
[salem, polk_county]
[bongo_district, upper_east_region]
[usk_bridge, monmouthshire]
[kafé_44, stockholm]
[slims_river, yukon]
[deepdale, preston_,_lancashire]
[fownhope, herefordshire]
[brecon_beacons_national_park, carmarthenshire]
[burlington_township, burlington_county]
[guggenheim_museum, bilbao]
[mount_kosciuszko, new_south_wales]
[aletschhorn, valais]
[staten_island, new_york_city]
[st_giles_', edinburgh]
[pointe_de_miribel, haute_-_savoie]
[albersdorf, mitteldithmarschen]
[a49, herefordshire]
[parkland_high_school, winston_-_salem_,_north_carolina]
[willis_islands, south_georgia]
[ashgabat, turkmen_ssr]
[trélon, nord]
[beryslav_raion, kherson_oblast]
[sr_269, kings_county]
[central_university, jammu]
[westerplatte, danzig]
[grozny, chechnya]
[grand_teton_national_park, teton_county]
[vefa_stadium, karagümrük]
[fort_st_george, madras]
[sydney_harbour, new_south_wales]
[qomrud_rural_district, central_district]
[mount_anderson, washington]
[idukki_district, kerala]
[aurillac, cantal]
