movement;literary, artistic, scientific or philosophical movement or scene associated with this person or work
located in the administrative territorial entity;the item is located on the territory of the following administrative entity
head of government;head of the executive power of this town, city, municipality, state, country, or other governmental body
member of;organization, club or musical group to which the subject belongs
crosses;obstacle which this bridge crosses over or this tunnel goes under
tributary;watercourse that flows into an other one
position held;subject currently or formerly holds the object position or public office
developer;organization or person that developed the item
location of formation;location where a group or organization was formed
country of origin;country of origin of this item (creative work, food, phrase, product, etc.)
