movement|literary, artistic, scientific or philosophical movement or scene associated with this person or work
located in the administrative territorial entity|the item is located on the territory of the following administrative entity
head of government|head of the executive power of this town, city, municipality, state, country, or other governmental body
member of|organization, club or musical group to which the subject belongs
crosses|obstacle which this bridge crosses over or this tunnel goes under
tributary|watercourse that flows into an other one
position held|subject currently or formerly holds the object position or public office
developer|organization or person that developed the item
location of formation|location where a group or organization was formed
country of origin|country of origin of this item (creative work, food, phrase, product, etc.)
located on terrain feature|located on the specified physical/geophysical feature
participant of|event in which a person or organization was/is a participant
director|director of film, TV-series, stageplay, video game or similar
owned by|owner of the subject
part of|object of which the subject is a part
occupant|person or organization occupying property
architect|person or architectural firm responsible for designing this building
residence|the place where the person is or has been, resident
composer|person who wrote the music
location|location of the object, structure or event
spouse|the subject has the object as their spouse (husband, wife, partner, etc.)
record label|brand and trademark associated with the marketing of subject music recordings and music videos
distributor|distributor of a creative work; distributor for a record label; news agency; film distributor
located in or next to body of water|body of water on or next to which a place is located
subsidiary|subsidiary of a company or organization; generally a fully owned separate corporation
country of citizenship|the object is a country that recognizes the subject as its citizen
genre|creative work's genre or an artist's field of work
mouth of the watercourse|the body of water to which the watercourse drains
position played on team / speciality|position or specialism of a player on a team
sports season of league or competition|property that shows the competition of which the item is a season
applies to jurisdiction|the item (institution, law, public office, public register...) or statement belongs to or has power over or applies to the value (a territorial jurisdiction: a country, state, municipality, ...)
performer|actor, musician, band or other performer associated with this role or musical work
manufacturer|manufacturer or producer of this product
participant|person, group of people or organization (object) that actively takes/took part in an event or process
operating system|operating system (OS) on which a software works or the OS installed on hardware
competition class|official classification by a regulating body under which the subject (events, teams, participants, or equipment) qualifies for inclusion
successful candidate|person elected after the election
sibling|the subject and the object have the same parents
military branch|branch to which this military unit, award, office, or person belongs
child|subject has object as child
contains administrative territorial entity|direct subdivisions of an administrative territorial entity
said to be the same as|this item is said to be the same as that item, but it's uncertain or disputed
winner|winner of a competition or similar event
military rank|military rank achieved by a person, or military rank associated with a position
publisher|organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software
followed by|immediately following item in a series of which the subject is a part
work location|location where persons or organisations were actively participating in employment, business or other work
occupation|occupation of a person
heritage designation|heritage designation of a cultural or natural site
voice type|person's voice type
main subject|primary topic of a work
participating team|teams that actively takes/took part in an event or process
has part|part of this subject
nominated for|award nomination received by a person, organisation or creative work
instance of|that class of which this subject is a particular example and member
mountain range|range or subrange to which the geographical item belongs
screenwriter|person who wrote the script for subject item
language of work or name|language associated with this creative work (such as books, shows, songs, broadcasts or websites) or a name
operator|person, profession, or organization that operates the equipment, facility, or service
religion|religion of a person, organization or religious building, or associated with this subject
member of political party|the political party of which a person is or has been a member or otherwise affiliated
after a work by|artist whose work strongly inspired/ was copied in this item
notable work|notable scientific, artistic or literary work, or other work of significance among subject's works
headquarters location|city, where an organization's headquarters is or has been situated
taxon rank|level in a taxonomic hierarchy
field of work|specialization of a person or organization
licensed to broadcast to|place that a radio/TV station is licensed/required to broadcast to
constellation|the area of the celestial sphere of which the subject is a part
platform|platform for which a work was developed or released, or the specific platform version of a software product
place served by transport hub|territorial entity or entities served by this transport hub (airport, train station, etc.)
follows|immediately prior item in a series of which the subject is a part
sport|sport that the subject participates or participated in or is associated with
father|male parent of the subject
original network|network or service that originally broadcast a radio or television program
original language of film or TV show|language in which a film or a performance work was originally created
league|league in which team or player plays or has played in
mother|female parent of the subject
instrument|musical instrument that a person plays or teaches or used in a music occupation
country|sovereign state of this item (not to be used for human beings)
characters|characters which appear in this item (like plays, operas, operettas, books, comics, films, TV series, video games)
